"과일,사과,바나나"
"스포츠,야구,배구"
"동물,강아지,고양이"
"가전제품,냉장고,세탁기"
"색상,빨강,파랑"
"악기,피아노,기타"
"탈것,자전거,오토바이"
"채소,당근,양파"
"가구,소파,책상"
"의류,셔츠,바지"
"도구,망치,드라이버"
"가방,배낭,핸드백"
"과자,초콜릿,감자칩"
"전자기기,스마트폰,태블릿"
"음료,커피,주스"
"문구,펜,노트"
"운동,축구,농구"
"꽃,장미,백합"
"보석,다이아몬드,진주"
"직업,의사,교사"
"가전제품,에어컨,선풍기"
"식재료,달걀,우유"
"운송수단,기차,배"
"가정용품,냄비,수건"
"가구,침대,식탁"
"자동차,승용차,트럭"
"전자기기,노트북,TV"
"스포츠,골프,테니스"
"동물,토끼,거북이"
"악기,바이올린,드럼"
"과일,오렌지,포도"
"가구,책장,의자"
"전자기기,프린터,복사기"
"운동,수영,배드민턴"
"가전제품,전자레인지,믹서기"
"문구,연필,지우개"
"동물,고슴도치,앵무새"
"의류,원피스,치마"
"가정용품,화분,액자"
"운송수단,비행기,선박"
"도구,드릴,톱"
"가방,지갑,서류가방"
"과자,쿠키,빵"
"전자기기,카메라,MP3플레이어"
"음료,차,우유"
"채소,시금치,고추"
"악기,트럼펫,플루트"
"가구,장롱,옷장"
"자동차,오토바이,자전거"
"스포츠,배구,농구"
"동물,고양이,강아지"
"가전제품,청소기,공기청정기"
"색상,노랑,초록"
"문구,크레파스,마카펜"
"가정용품,쿠션,시계"
"의류,스웨터,드레스"
"운동,야구,배드민턴"
"가구,침대,책상"
"전자기기,모니터,마우스"
"과자,사탕,과자"
"음료,탄산음료,우유"
"채소,감자,토마토"
"악기,기타,드럼"
"가방,숄더백,토트백"
"자동차,승용차,SUV"
"스포츠,스키,스케이트"
"동물,돼지,양"
"가전제품,건조기,식기세척기"
"색상,검정,흰색"
"문구,볼펜,연필깎이"
"가정용품,화장대,선반"
"의류,운동화,구두"
"과일,딸기,파인애플"
"스포츠,농구,배구"
"동물,코끼리,기린"
"가전제품,히터,제습기"
"색상,갈색,보라색"
"악기,바이올린,첼로"
"탈것,스쿠터,스케이트보드"
"채소,브로콜리,파프리카"
"가구,소파베드,화장대"
"의류,레깅스,재킷"
"도구,렌치,스크루드라이버"
"가방,크로스백,서류가방"
"과자,마카롱,도넛"
"전자기기,게임기,스마트워치"
"음료,밀크티,쥬스"
"문구,색연필,매직펜"
"운동,테니스,골프"
"꽃,튤립,데이지"
"보석,에메랄드,사파이어"
"직업,변호사,회계사"
"가전제품,세탁기,식기세척기"
"식재료,버터,밀가루"
"운송수단,지하철,버스"
"가정용품,러그,커튼"
"가구,테이블,식탁의자"
"자동차,세단,해치백"
"전자기기,태블릿,스마트스피커"
"스포츠,배드민턴,탁구"
"동물,햄스터,고슴도치"
"악기,플루트,트럼펫"
"과일,멜론,복숭아"
"가구,싱크대,화장대"
"전자기기,키보드,마우스"
"운동,배구,탁구"
"가전제품,정수기,공기청정기"
"문구,스티커,메모지"
"동물,오리,거위"
"의류,나시,조끼"
"가정용품,화병,촛대"
"운송수단,트럭,SUV"
"도구,펜치,니퍼"
"가방,메신저백,에코백"
"과자,팝콘,초코바"
"전자기기,헤드폰,이어폰"
"음료,스무디,아이스티"
"채소,가지,오이"
"악기,하프,팬플룻"
"가구,서랍장,선반"
"자동차,픽업트럭,밴"
"스포츠,수영,사이클링"
"동물,토끼,고슴도치"
"가전제품,전자레인지,토스터기"
"색상,주황,연두색"
"문구,형광펜,클립"
"가정용품,쿠션,러그"
"의류,니트,점퍼"
"운동,볼링,당구"
"가구,전신거울,화장대"
"전자기기,스캐너,복합기"
"과자,에클레어,마카롱"
"음료,와인,맥주"
"채소,콜리플라워,감자"
"악기,드럼,트럼펫"
"가방,힙색,백팩"
"자동차,미니밴,SUV"
"스포츠,럭비,아이스하키"
"동물,펭귄,코끼리"
"가전제품,선풍기,온풍기"
"색상,분홍,하늘색"
"문구,고무줄,클립보드"
"가정용품,화병,조명등"
"의류,반바지,민소매"
"운동,스키,스케이트"
"가구,소파,테이블"
"전자기기,게임기,VR기기"
"과자,타르트,케이크"
"음료,코코아,밀크쉐이크"
"채소,양배추,고구마"
"악기,바이올린,첼로"
"가방,클러치백,보스턴백"
"자동차,전기차,하이브리드"
"스포츠,펜싱,양궁"
"동물,원숭이,타조"
"가전제품,식기건조기,식품건조기"
"색상,금색,은색"
"문구,포스트잇,테이프"
"가정용품,화장품선반,욕실선반"
"의류,넥타이,스카프"
"운동,럭비,아이스하키"
